ID,Title,Category,Status,Priority,Citizen,Date,Department
143c89d9-463c-4613-9e06-772d73d4dbf1,"wifi",Other,submitted,medium,Anonymous,9/13/2025,Electrical Services
b00893e8-e4df-42e4-8b1a-701625903d38,"test1",Parks and Recreation,submitted,medium,Anonymous,9/13/2025,Unassigned
a128fbf1-b0ea-45e6-a6c6-c3f7662dc46e,"net",Traffic Signals,resolved,medium,Anonymous,9/13/2025,Parks and Recreation
aa277f71-aecd-4d4d-ad96-3d8161f95be4,"lighgtd",Parks and Recreation,submitted,medium,Anonymous,9/12/2025,Unassigned
a0409600-ff63-4146-81d2-5dd17dbaa6ac," vz ",Noise Complaints,submitted,medium,Anonymous,9/12/2025,Unassigned
73682837-f8cc-4610-9763-e8211d1d416f,"qerda",Water Issues,submitted,medium,Anonymous,9/12/2025,Unassigned
139a4ebf-0ef8-4d90-8a16-3d8ba9daf946,"man",Noise Complaints,submitted,medium,Anonymous,9/12/2025,Unassigned
cd681d58-dc85-4877-839a-be69ed9846c1,"edcsx",Water Issues,submitted,medium,Anonymous,9/12/2025,Unassigned
0eddddda-9114-4069-804d-0602eacceb61,"sdfvc",Parks and Recreation,submitted,medium,Anonymous,9/12/2025,Unassigned
93f0c6d4-f7fa-477c-a8d3-8b83b0852ba0,"hey there",Sidewalk Repair,submitted,medium,Anonymous,9/12/2025,Unassigned
80d0abf4-c2c9-48cf-ab3a-ec52bdebd930,"thousip",Sidewalk Repair,submitted,high,Anonymous,9/12/2025,Water Department
